AcademicYear,Institution,Student Type,DemographicGroup,DemographicValue,DemographicSubgroup,DemographicSubgroupValue,AvgTTD,MedTTD,Number of Degrees
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,None,All,2.26,2.25,744
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Asian/Native Hawaiian or Other Pacific Islander,2.04,1.75,53
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Hispanic,2.14,1.92,49
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,Multi Racial,2.13,1.92,33
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Race/Ethnicity,White,2.32,2.25,552
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Sex,Female,2.18,1.92,430
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Sex,Male,2.38,2.42,314
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Washington College Grant Status,Did Not Receive WA College Grant,2.28,2.25,556
2007-08,Central Washington University,All Transfers,Age,<= 24 years old,Washington College Grant Status,Received WA College Grant,2.23,2,188
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,None,All,2.22,1.92,1056
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Hispanic,2.18,1.92,69
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,Multi Racial,2.12,1.92,38
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Race/Ethnicity,White,2.27,2.17,788
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Sex,Female,2.13,1.92,602
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Sex,Male,2.34,2.25,454
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Washington College Grant Status,Did Not Receive WA College Grant,2.22,1.92,651
2007-08,Central Washington University,All Transfers,FT/PT Status,Full-Time,Washington College Grant Status,Received WA College Grant,2.22,1.92,405
2007-08,Central Washington University,All Transfers,None (All Students),All,None,All,2.24,2,1258
2007-08,Central Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,None,All,2.21,1.92,846
2007-08,Central Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,Hispanic,2.1,1.92,51
2007-08,Central Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Race/Ethnicity,White,2.25,2.17,620
2007-08,Central Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Sex,Female,2.13,1.92,494
2007-08,Central Washington University,All Transfers,Pell Grant Status,Did Not Receive Pell Grant,Sex,Male,2.31,2.25,352
2007-08,Central Washington University,All Transfers,Pell Grant Status,Received Pell Grant,None,All,2.31,2.25,412
2007-08,Central Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Race/Ethnicity,White,2.37,2.25,290
2007-08,Central Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Sex,Female,2.24,1.92,233
2007-08,Central Washington University,All Transfers,Pell Grant Status,Received Pell Grant,Sex,Male,2.4,2.42,179
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,None,All,2.23,2,764
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Race/Ethnicity,White,2.28,2.25,561
2007-08,Central Washington University,All Transfers,Pell or Washington College Grant Status,Did Not Receive Pell or WA College Grant,Sex,Female,2.16,1.92,444
