Titles,Runtime,User Rating,Metascore,Genre,Gross,Votes
American Sniper,133 min,7.3,72,Action,$936.66M,"937,675"
Star Wars: Episode VII - The Force Awakens,138 min,7.8,80,Action,$858.37M,"1,147,894"
Avengers: Endgame,181 min,8.4,78,Action,$760.51M,"1,322,510"
Avatar,162 min,7.9,83,Action,$700.06M,"785,631"
Black Panther,134 min,7.3,88,Action,$678.82M,"1,095,131"
Avengers: Infinity War,149 min,8.4,68,Action,$652.27M,"649,302"
Jurassic World,124 min,6.9,59,Action,$623.28M,"1,400,165"
The Avengers,143 min,8,69,Action,$620.18M,"638,868"
Star Wars: Episode VIII - The Last Jedi,152 min,6.9,84,Action,$608.58M,"302,694"
Incredibles 2,118 min,7.6,80,Animation,$543.64M,"249,206"
The Lion King,118 min,6.8,55,Animation,$534.86M,"2,675,291"
The Dark Knight,152 min,9,84,Action,$532.18M,"647,212"
Rogue One: A Star Wars Story,133 min,7.8,65,Action,$515.20M,"458,056"
Star Wars: Episode IX - The Rise of Skywalker,141 min,6.5,53,Action,$504.01M,"314,409"
Beauty and the Beast,129 min,7.1,65,Adventure,$486.30M,"281,540"
Finding Dory,97 min,7.3,77,Animation,$477.37M,"177,186"
Frozen II,103 min,6.8,64,Animation,$459.01M,"872,154"
Avengers: Age of Ultron,141 min,7.3,66,Action,$448.14M,"1,717,751"
The Dark Knight Rises,164 min,8.4,78,Action,$436.47M,"472,443"
Shrek 2,93 min,7.3,75,Animation,$434.04M,"255,947"
Toy Story 4,100 min,7.7,84,Animation,$426.83M,"567,825"
Captain Marvel,123 min,6.8,64,Action,$424.67M,"672,262"
The Hunger Games: Catching Fire,146 min,7.5,76,Action,$423.32M,"727,127"
Pirates of the Caribbean: Dead Man's Chest,151 min,7.3,53,Action,$417.72M,"321,869"
Jurassic World: Fallen Kingdom,128 min,6.1,51,Action,$415.00M,"843,238"
Toy Story 3,103 min,8.3,92,Animation,$412.56M,"665,275"
Wonder Woman,141 min,7.4,76,Action,$409.01M,"858,089"
Iron Man 3,130 min,7.1,62,Action,$408.08M,"797,045"
Captain America: Civil War,147 min,7.8,75,Action,$408.01M,"927,427"
The Hunger Games,142 min,7.2,68,Action,$404.52M,"388,531"
Jumanji: Welcome to the Jungle,119 min,6.9,58,Action,$403.71M,"826,044"
Spider-Man,121 min,7.4,73,Action,$402.11M,"411,343"
Transformers: Revenge of the Fallen,149 min,5.9,35,Action,$400.74M,"632,000"
Frozen,102 min,7.4,75,Animation,$390.53M,"502,101"
Spider-Man: Far from Home,129 min,7.4,69,Action,$389.81M,"690,714"
Guardians of the Galaxy Vol. 2,136 min,7.6,67,Action,$381.01M,"885,383"
Harry Potter and the Deathly Hallows: Part 2,130 min,8.1,85,Adventure,$380.84M,"1,052,329"
Finding Nemo,100 min,8.2,90,Animation,$380.26M,"799,919"
Star Wars: Episode III - Revenge of the Sith,140 min,7.6,68,Action,$377.85M,"1,860,224"
The Lord of the Rings: The Return of the King,201 min,9,94,Action,$373.59M,"661,501"
Spider-Man 2,127 min,7.4,83,Action,$370.78M,"234,200"
The Passion of the Christ,127 min,7.2,47,Drama,$368.38M,"205,724"
The Secret Life of Pets,87 min,6.5,61,Animation,$368.06M,"405,473"
Despicable Me 2,98 min,7.3,62,Animation,$364.00M,"280,638"
The Jungle Book,106 min,7.4,77,Adventure,$363.07M,"1,048,968"
Deadpool,108 min,8,65,Action,$356.46M,"722,520"
Inside Out,95 min,8.2,94,Animation,$355.56M,"270,796"
Aladdin,128 min,6.9,53,Adventure,$353.01M,"394,560"
Furious 7,137 min,7.1,67,Action,$352.39M,"413,800"
Transformers: Dark of the Moon,154 min,6.2,42,Action,$350.13M,"495,027"
Shrek,90 min,7.9,84,Animation,$342.55M,"1,679,682"
The Lord of the Rings: The Two Towers,179 min,8.8,87,Action,$341.27M,"506,528"
Zootopia,108 min,8,78,Animation,$337.14M,"462,453"
The Hunger Games: Mockingjay - Part 1,123 min,6.6,64,Action,$336.53M,"598,416"
Spider-Man 3,139 min,6.3,59,Action,$336.05M,"243,175"
Minions,91 min,6.4,56,Animation,$335.45M,"1,310,447"
Joker,122 min,8.4,59,Crime,$335.06M,"481,491"
Aquaman,143 min,6.8,55,Action,$334.20M,"666,161"
Spider-Man: Homecoming,133 min,7.4,73,Action,$334.19M,"420,668"
Alice in Wonderland,108 min,6.4,53,Adventure,$333.18M,"1,189,833"
Guardians of the Galaxy,121 min,8,76,Action,$330.36M,"705,134"
Batman v Superman: Dawn of Justice,151 min,6.4,44,Action,$327.48M,"557,650"
It,135 min,7.3,69,Horror,$325.10M,"692,039"
Suicide Squad,123 min,5.9,40,Action,$324.59M,"591,577"
Deadpool 2,119 min,7.7,66,Action,$320.71M,"313,383"
Shrek the Third,93 min,6.1,58,Animation,$319.25M,"644,791"
Transformers,144 min,7,61,Action,$318.41M,"1,067,896"
Iron Man,126 min,7.9,79,Action,$317.58M,"792,358"
Harry Potter and the Sorcerer's Stone,152 min,7.6,65,Adventure,$317.10M,"460,042"
Indiana Jones and the Kingdom of the Crystal Skull,122 min,6.2,65,Action,$316.83M,"256,686"
Jumanji: The Next Level,123 min,6.7,58,Action,$315.54M,"1,889,583"
The Lord of the Rings: The Fellowship of the Ring,178 min,8.8,92,Action,$315.06M,"761,679"
Thor: Ragnarok,130 min,7.9,74,Action,$312.43M,"825,434"
Iron Man 2,124 min,6.9,57,Action,$310.68M,"718,991"
Star Wars: Episode II - Attack of the Clones,142 min,6.6,54,Action,$309.42M,"658,731"
Pirates of the Caribbean: At World's End,169 min,7.1,50,Action,$305.41M,"1,137,274"
Pirates of the Caribbean: The Curse of the Black Pearl,143 min,8.1,63,Action,$304.36M,"703,304"
Skyfall,143 min,7.8,81,Action,$303.00M,"835,716"
The Hobbit: An Unexpected Journey,169 min,7.8,58,Fantasy,$301.96M,"553,984"
Harry Potter and the Half-Blood Prince,153 min,7.6,78,Action,$300.53M,"249,596"
The Twilight Saga: Eclipse,124 min,5,58,Action,$296.62M,"288,188"
The Twilight Saga: New Moon,130 min,4.7,44,Adventure,$295.98M,"557,640"
Harry Potter and the Deathly Hallows: Part 1,146 min,7.7,65,Adventure,$293.00M,"1,053,131"
Up,96 min,8.3,88,Animation,$292.58M,"2,373,470"
Inception,148 min,8.8,74,Action,$292.30M,"252,281"
The Twilight Saga: Breaking Dawn - Part 2,115 min,5.5,52,Adventure,$292.00M,"590,767"
Harry Potter and the Order of the Phoenix,138 min,7.5,71,Action,$291.71M,"405,152"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",143 min,6.9,75,Adventure,$291.05M,"777,926"
Man of Steel,143 min,7.1,55,Action,$290.01M,"636,011"
Harry Potter and the Goblet of Fire,157 min,7.7,81,Adventure,$289.92M,"918,026"
"Monsters, Inc.",92 min,8.1,79,Animation,$281.72M,"333,863"
The Hunger Games: Mockingjay - Part 2,137 min,6.5,65,Action,$281.49M,"600,979"
The Matrix Reloaded,138 min,7.2,62,Action,$281.29M,"243,970"
The Twilight Saga: Breaking Dawn - Part 1,117 min,4.9,45,Adventure,$279.26M,"275,252"
Meet the Fockers,115 min,6.3,41,Comedy,$277.32M,"794,801"
The Hangover,100 min,7.7,73,Comedy,$274.09M,"833,245"
Gravity,91 min,7.7,96,Drama,$270.62M,"76,929"
The Grinch,85 min,6.4,51,Animation,$270.40M,"174,729"
Sing,108 min,7.1,59,Animation,$268.49M,"365,629"
Monsters University,104 min,7.2,65,Animation,$267.67M,"687,692"
How to Train Your Dragon,98 min,8.1,75,Animation,$264.62M,"139,460"
Despicable Me 3,89 min,6.2,49,Animation,$262.03M,"663,368"
The Amazing Spider-Man,136 min,6.9,66,Action,$261.99M,"645,167"
Harry Potter and the Chamber of Secrets,161 min,7.4,63,Adventure,$261.44M,"747,293"
The Incredibles,115 min,8,90,Animation,$260.04M,"266,229"
How the Grinch Stole Christmas,104 min,6.3,46,Comedy,$259.77M,"854,113"
Captain America: The Winter Soldier,136 min,7.8,70,Action,$258.37M,"671,117"
The Hobbit: The Desolation of Smaug,161 min,7.8,66,Fantasy,$257.76M,"361,281"
The Lego Movie,100 min,7.7,83,Animation,$257.73M,"607,000"
Star Trek,127 min,7.9,82,Action,$256.39M,"768,173"
I Am Legend,101 min,7.2,65,Action,$255.96M,"338,135"
